SampleID,StationID,Station_D,SampleDateTime,Latitude,Longitude,Depth,Temperature,Salinity,Sigma-T,Conductivity,Beam Attenuation,Chla Fluor,Dissolved Oxygen (Model 43),DO % Saturation,Air Irradiance,Water Irradiance,pH <2>,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,Data Source,VINDTA Sample Name,Sampled Bottle Name,Sampling Date,Sampling Depth,Salinity - Carolina,Salinity - Ries ,Run T,Sampling T,Pressure,Comments
SBNMS,N06,,7/18/18 15:30,42.38895833,-70.34602833,1.185,20.5221,31.1516,,,,,,,,,,2130.432861,1895.819214,20.52210045,11.18500042,8.028641579,392.0532047,393.3787833,1712.230926,170.8019205,12.78636179,72.52319142,4.08435013,0,0,10.52846568,4.196037885,2.708192006,402.8100462,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N11,,7/18/18 15:55,42.37437833,-70.35627333,1.18,20.7602,31.1785,,,,,,,,,,2145.503662,1905.400513,20.7602005,11.18000031,8.033132444,389.7739423,391.0879234,1717.859751,174.9136211,12.62716673,73.60558532,4.220527261,0,0,10.44217617,4.297963494,2.775907115,400.6061254,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N07,,7/18/18 16:21,42.381025,-70.32357667,1.183,20.2572,31.2777,,,,,,,,,,2145.322266,1906.717163,20.25720024,11.18299961,8.036857008,385.7899071,387.0986114,1720.461305,173.5899376,12.66595362,73.61913022,4.071338696,0,0,10.48077962,4.258906113,2.747852922,396.2245118,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N10,,7/18/18 16:36,42.367105,-70.33562833,1.009,20.3297,31.2745,,,,,,,,,,2115.479736,1914.064453,20.32970047,11.00899982,7.962532322,465.7642655,467.3428406,1749.61989,149.1833049,15.26120467,64.05052853,3.453768627,0,0,11.33131734,3.660718531,2.362317293,478.4111827,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N08,,7/18/18 17:06,42.373445,-70.30481333,1.117,20.4025,31.3247,,,,,,,,,,2119.675781,1916.988159,20.40250015,11.11699963,7.962903657,466.0057237,467.5836883,1751.649492,150.1043973,15.23428146,64.34520603,3.48336943,0,0,11.3050673,3.682398228,2.377087373,478.7085238,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N08,,7/18/18 17:11,42.373445,-70.30481333,25.369,7.3405,32.0116,,,,,,,,,,2155.552002,2062.541748,7.340499878,35.36899948,7.872755967,574.2311913,576.5289409,1954.32768,80.16406307,28.04992252,40.11413417,0.795619721,0,0,16.07381626,1.929791506,1.215503541,582.3147446,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,N09,,7/18/18 17:49,42.357435,-70.31637667,1.333,20.497,31.3401,,,,,,,,,,2121.522705,1919.484375,20.49699974,11.33300018,7.959524068,470.58419,472.1757875,1754.348454,149.7932987,15.34259543,64.11120706,3.487736199,0,0,11.32600987,3.674812693,2.372878324,483.477084,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,C14,,7/19/18 11:06,42.309425,-70.30684333,1.115,18.5071,31.3502,,,,,,,,,,2119.925537,1914.967529,18.50709915,11.11499977,7.997505995,424.9760144,426.4494929,1749.77543,150.5409237,14.6511958,65.91573119,3.162824158,0,0,11.28514945,3.681954712,2.365678301,435.4431904,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,C1,,7/19/18 11:41,42.30825333,-70.28679667,1.191,19.1394,31.3222,,,,,,,,,,2111.062988,1925.620361,19.13940048,11.19099998,7.945460803,486.7301599,488.4044526,1770.601238,138.5353362,16.48379226,60.42708279,2.975449366,0,0,11.8125774,3.391968901,2.182588659,499.1293608,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,C1,,7/19/18 11:41,42.30825333,-70.28679667,1.191,19.1394,31.3222,,,,,,,,,,2119.434814,1922.935303,19.13940048,11.19099998,7.969278409,458.4631876,460.0402454,1761.791787,145.6169687,15.52649202,63.27680625,3.143186639,0,0,11.51015714,3.565359154,2.29415796,470.1423019,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
SBNMS,C2,,7/19/18 12:01,42.29479167,-70.28367,1.269,19.2146,31.3414,,,,,,,,,,2132.352051,1918.256714,19.21459961,11.26900005,8.004189249,419.6685796,421.1108328,1747.041757,157.0339731,14.18101841,67.82083432,3.431545106,0,0,11.06208066,3.844771265,2.474543239,430.40235,N,ToRies_Labprocessed2018_sharedSeaGlass,,,,,,,,,,
