DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV,Timestamp,TIME_BIN,lat,lon,ele
04/17/19,13:03:45,3.95,8.11,28.91,51000.0,10.12,95.7,2.38,-50.3,8.36,32.61,32640,-0.3,2019-04-17 13:03:45,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:03:50,3.94,8.11,23.24,50980.0,10.20,96.4,2.22,-50.5,8.43,32.59,32630,-0.3,2019-04-17 13:03:50,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:03:55,3.99,8.12,17.62,51030.0,10.31,97.5,2.31,-50.7,8.23,32.63,32660,-0.3,2019-04-17 13:03:55,2019-04-17-13-03,42.191415019333363,-70.417971080169082,12.15
04/17/19,13:04:00,4.15,8.13,12.03,50910.0,10.36,98.4,1.71,-51.3,8.48,32.57,32580,-0.2,2019-04-17 13:04:00,2019-04-17-13-04,42.190564088523388,-70.414664419367909,11.67
04/17/19,13:04:05,4.59,8.15,6.89,50660.0,10.31,98.9,1.05,-52.7,8.44,32.46,32420,-0.3,2019-04-17 13:04:05,2019-04-17-13-04,42.190564088523388,-70.414664419367909,11.67
04/17/19,13:04:10,5.10,8.16,1.61,50560.0,10.28,99.8,0.66,-53.4,8.39,32.46,32360,-0.3,2019-04-17 13:04:10,2019-04-17-13-04,42.190564088523388,-70.414664419367909,11.67
4/25/19,12:18:35,7.25,8.14,0.62,49580.0,8.93,90.9,0.44,-52.5,8.46,32.01,31730,-0.2,2019-04-25 12:18:35,2019-04-25-12-18,42.291460828855634,-70.615795059129596,16
4/25/19,12:18:40,7.29,8.15,0.6,49700.0,8.88,90.5,0.4,-53.2,8.29,32.1,31810,-0.2,2019-04-25 12:18:40,2019-04-25-12-18,42.291460828855634,-70.615795059129596,16
4/25/19,12:18:45,6.53,8.16,1.93,49860.0,9.3,93.2,0.43,-53.9,8.49,32.14,31910,-0.2,2019-04-25 12:18:45,2019-04-25-12-18,42.291460828855634,-70.615795059129596,16
4/25/19,12:18:50,5.74,8.18,8.01,49920.0,9.48,93.2,0.56,-54.6,8.53,32.09,31950,-0.2,2019-04-25 12:18:50,2019-04-25-12-18,42.291460828855634,-70.615795059129596,16
4/25/19,12:18:55,4.99,8.17,14.54,50240.0,9.74,94.1,0.57,-53.9,8.44,32.22,32150,-0.2,2019-04-25 12:18:55,2019-04-25-12-18,42.291460828855634,-70.615795059129596,16
4/25/19,12:19:00,4.46,8.13,20.49,50480.0,9.93,94.9,0.93,-51.7,8.34,32.32,32310,-0.2,2019-04-25 12:19:00,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:19:05,4.22,8.12,26.05,50610.0,10.01,95.1,1.42,-50.8,8.23,32.37,32390,-0.2,2019-04-25 12:19:05,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:19:10,4.19,8.12,27.21,50680.0,10.06,95.5,2.39,-50.7,8.09,32.42,32430,-0.3,2019-04-25 12:19:10,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:19:15,4.2,8.12,27.15,50640.0,10.13,96.2,1.59,-50.7,8.26,32.39,32410,-0.2,2019-04-25 12:19:15,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:19:20,4.21,8.12,24.99,50590.0,10.19,96.7,0.99,-50.8,8.33,32.36,32380,-0.2,2019-04-25 12:19:20,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:19:25,4.27,8.12,23.13,50530.0,10.25,97.4,0.78,-50.9,8.04,32.32,32330,-0.2,2019-04-25 12:19:25,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:19:30,4.38,8.12,20.3,50480.0,10.28,97.9,0.93,-51,8.24,32.31,32310,-0.2,2019-04-25 12:19:30,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:19:35,4.58,8.14,15.53,50400.0,10.25,98.2,1,-51.8,8.33,32.27,32250,-0.2,2019-04-25 12:19:35,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:19:40,5.23,8.16,10.86,50090.0,10.17,98.8,0.79,-53.4,8.13,32.15,32060,-0.3,2019-04-25 12:19:40,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:19:45,5.63,8.19,6.56,49900.0,10.16,99.6,0.54,-54.9,8.33,32.06,31930,-0.3,2019-04-25 12:19:45,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:19:50,6.15,8.2,2.47,49790.0,10.09,100.1,0.57,-55.6,8.29,32.04,31860,-0.2,2019-04-25 12:19:50,2019-04-25-12-19,42.2936677839607,-70.613797483965755,18.399999999999999
4/25/19,12:43:50,5.78,8.2,12.96,49970.0,10.59,104.3,1.34,-55.6,8.31,32.13,31980,-0.2,2019-04-25 12:43:50,2019-04-25-12-43,42.346521969884634,-70.566707365214825,5.42
4/25/19,12:43:55,5.9,8.2,8.37,49950.0,10.66,105.2,1.24,-56,8.06,32.13,31970,-0.2,2019-04-25 12:43:55,2019-04-25-12-43,42.346521969884634,-70.566707365214825,5.42
4/25/19,12:44:00,6.18,8.21,3.88,49780.0,10.62,105.5,0.94,-56.4,7.79,32.04,31860,-0.2,2019-04-25 12:44:00,2019-04-25-12-44,42.348764631897211,-70.564808109775186,5.42
4/25/19,12:44:05,6.55,8.23,0.06,49630.0,10.61,106.2,0.79,-57.6,8.06,31.98,31760,-0.2,2019-04-25 12:44:05,2019-04-25-12-44,42.348764631897211,-70.564808109775186,5.42
4/25/19,13:11:10,4.58,8.17,28.85,50600.0,10.09,96.7,1.58,-53.5,8.24,32.42,32380,-0.2,2019-04-25 13:11:10,2019-04-25-13-11,42.404035991057754,-70.525072440505028,7.35
4/25/19,13:11:15,4.58,8.16,33.75,50610.0,10.13,97.1,1.49,-53.2,8.46,32.43,32390,-0.2,2019-04-25 13:11:15,2019-04-25-13-11,42.404035991057754,-70.525072440505028,7.35
4/25/19,13:11:20,4.58,8.16,33.27,50630.0,10.14,97.2,1.35,-53.2,8.03,32.44,32400,-0.2,2019-04-25 13:11:20,2019-04-25-13-11,42.404035991057754,-70.525072440505028,7.35
4/25/19,13:11:25,4.57,8.16,33,50600.0,10.17,97.5,2.02,-53.1,7.73,32.42,32380,-0.2,2019-04-25 13:11:25,2019-04-25-13-11,42.404035991057754,-70.525072440505028,7.35
4/25/19,13:11:30,4.58,8.16,31.97,50590.0,10.2,97.7,1.72,-53.1,8.03,32.41,32380,-0.2,2019-04-25 13:11:30,2019-04-25-13-11,42.404035991057754,-70.525072440505028,7.35
4/25/19,13:11:35,4.58,8.16,28.74,50610.0,10.21,97.9,1.52,-53.2,8.16,32.43,32390,-0.3,2019-04-25 13:11:35,2019-04-25-13-11,42.404035991057754,-70.525072440505028,7.35
4/25/19,13:11:40,4.59,8.16,25.93,50630.0,10.26,98.3,1.7,-53.3,7.69,32.44,32400,-0.2,2019-04-25 13:11:40,2019-04-25-13-11,42.404035991057754,-70.525072440505028,7.35
4/25/19,13:11:45,4.59,8.16,22.05,50550.0,10.29,98.7,1.33,-53.4,8.24,32.39,32350,-0.2,2019-04-25 13:11:45,2019-04-25-13-11,42.404035991057754,-70.525072440505028,7.35
