EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source
 WN218,N01,2021-09-08 07:51:46,42.421028137207,-70.8640975952148,15.0706100463867,B,37.711067199707,5.69355583190918,0.923512816429138,66.1922149658203,8.04037475585938,31.7229652404785,23.8124237060547,13.2250308990479,0.990521907806396,,MassBay_2020_to_2022_CONCAT
 WN218,N01,2021-09-08 07:52:38,42.4209747314453,-70.8639068603516,7.50217962265015,C,40.5312919616699,6.47405338287354,1.80641233921051,80.7654037475586,8.19904804229736,31.3631801605225,22.7689647674561,16.8147735595703,0.624025464057922,,MassBay_2020_to_2022_CONCAT
 WN218,N01,2021-09-08 07:53:16,42.4210090637207,-70.8638534545898,1.88471150398254,A,41.2047424316406,7.093665599823,3.5460410118103,91.3411331176758,8.25779247283936,30.4869956970215,21.6454677581787,18.7215728759766,0.999018013477325,,MassBay_2020_to_2022_CONCAT
 WN218,N04,2021-09-08 08:23:44,42.4440116882324,-70.735481262207,46.8115463256836,E,35.4599227905273,6.32119846343994,0.322383284568787,68.7996978759766,8.03726005554199,32.3189926147461,24.863317489624,9.9822359085083,1.03856813907623,,MassBay_2020_to_2022_CONCAT
 WN218,N04,2021-09-08 08:24:44,42.4440727233887,-70.735481262207,33.9819869995117,D,36.3324546813965,6.96821355819702,0.421949863433838,77.6994781494141,8.09250068664551,32.1830940246582,24.5614433288574,11.1274738311768,0.419581174850464,,MassBay_2020_to_2022_CONCAT
 WN218,N04,2021-09-08 08:26:08,42.4441337585449,-70.7353668212891,20.1511287689209,B,39.7840805053711,7.55552434921265,2.18631505966187,91.8934783935547,8.27109432220459,31.8318881988525,23.4468307495117,15.3947582244873,0.512172818183899,,MassBay_2020_to_2022_CONCAT
 WN218,N04,2021-09-08 08:26:50,42.4441719055176,-70.7353134155273,10.4952831268311,C,41.9186401367188,8.03283023834229,2.58085131645203,102.800804138184,8.38871192932129,31.5765686035156,22.6388359069824,18.0609550476074,0.569810688495636,,MassBay_2020_to_2022_CONCAT
 WN218,N04,2021-09-08 08:27:36,42.4443588256836,-70.7351913452148,2.12856936454773,A,42.1775054931641,7.81208562850952,1.58038306236267,101.753608703613,8.3561429977417,30.9447116851807,21.8802909851074,19.1828861236572,0.492627739906311,,MassBay_2020_to_2022_CONCAT
 WN218,F22,2021-09-08 08:56:53,42.4814567565918,-70.6174468994141,77.5206832885742,E,34.0592384338379,6.32434034347534,0.364562809467316,66.2544479370117,7.97085571289063,32.4297981262207,25.2208404541016,8.24976539611816,1.61876893043518,,MassBay_2020_to_2022_CONCAT
 WN218,F22,2021-09-08 08:57:57,42.481273651123,-70.6173477172852,58.0735893249512,D,35.0916061401367,6.84507083892822,0.373170852661133,73.6638488769531,8.02935314178467,32.4233589172363,25.0325565338135,9.44325542449951,0.614340245723724,,MassBay_2020_to_2022_CONCAT
