EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source,Air Irradiance,Water Irradiance,Station_D,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate
SG1,SG1,2018-09-27 11:34:00-0400,42.346533,-70.960667,4.573170732,,,,,,,29.6,,18.0,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2046.48779296875,1930.3861083984373,18.0,14.57317066192627,7.823565345634007,671.8391375865705,674.1834050596128,1810.6670597191408,95.99063838825973,23.728362741430846,41.93724100699308,1.91749119833106,0.0,0.0,14.303827235000712,2.37193064294211,1.5142212012027296,687.9604111578551,Y
Hangman's,139,2018-09-27 12:14:00-0400,42.290161,-70.967209,6.097560976,,,,,,,30.3,,18.1,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2070.6494140625,1943.816650390625,18.100000381469727,16.09756088256836,7.840790165671057,646.9701146958663,649.2247736159245,1818.596865566213,102.5229446165431,22.696853514606,44.98061344497417,2.0408749264337764,0.0,0.0,13.872001773921616,2.5215760780925818,1.6137303189333183,662.5719829602722,N
Hangman's,139,2018-09-27 12:19:00-0400,42.290161,-70.967209,1.0,,,,,,,30.2,,18.0,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2074.567138671875,1944.58154296875,18.0,11.0,7.852021527317748,630.3667370207528,632.5662936631272,1817.941230689681,104.44982270655588,22.190458965527966,45.67052264197689,2.070076531483588,0.0,0.0,13.770840640043197,2.572387334639125,1.6452538555987195,645.4885451592864,N
Hingham,124,2018-09-27 12:41:00-0400,42.272975,-70.897137,5.487804878,,,,,,,30.5,,18.5,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2101.609619140625,1936.107177734375,18.5,15.487804412841797,7.928829970204395,521.4450603294572,523.253177548679,1791.704214063791,126.33854288840732,18.06441847249681,54.63581683423157,2.604617066333333,0.0,0.0,12.495352349281305,3.105408013694542,1.990467364607056,534.2886352424956,Y
Hingham,124,2018-09-27 12:41:00-0400,42.272975,-70.897137,5.487804878,,,,,,,30.5,,18.5,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2095.461669921875,1949.5489501953125,18.5,15.487804412841797,7.880318237416401,590.5391092996489,592.5868109913171,1814.6575890604504,114.43332183741772,20.45804324625196,49.62146068012407,2.3293360552891214,0.0,0.0,13.177933283776186,2.81277705554582,1.8029002656944235,605.0845213984363,Y
Hingham,124,2018-09-27 12:44:00-0400,42.272975,-70.897137,1.0,,,,,,,30.6,,18.2,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2086.963134765625,1943.6278076171875,18.200000762939453,11.0,7.87813375224878,591.010459168431,593.0675184110706,1810.5106672042552,112.4770740169815,20.640096824122008,49.254950096667926,2.2567800922485883,0.0,0.0,13.251645593857116,2.7636261309129435,1.7705491208474435,605.3366191235418,N
Peddocks,141,2018-09-27 13:04:00-0400,42.305944,-70.931408,18.29268293,,,,,,,30.7,,17.8,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2122.09228515625,1958.3212890625,17.799999237060547,28.29268264770508,7.92984983710877,523.3123280831046,525.1429302793882,1814.448401898519,125.3949223972419,18.47799000930612,54.40996216780988,2.4560724537377863,0.0,0.0,12.63345198606944,3.068616484695514,1.9650402168232053,535.7308101622967,N
Peddocks,141,2018-09-27 13:11:00-0400,42.305944,-70.931408,1.0,,,,,,,30.8,,17.7,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2107.235107421875,1956.8707275390625,17.700000762939453,11.0,7.899073060189768,563.826745982278,565.8015527104744,1820.0613032986269,116.85409550194665,19.955380594529952,51.21080419276488,2.2677074340979217,0.0,0.0,13.060899073935502,2.865384443047965,1.8346287853640195,577.1354373342201,N
Dorchester,38,2018-09-27 13:28:00-0400,42.320491,-71.017133,1.0,,,,,,,29.4,,18.3,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2042.5419921875,1902.060791015625,18.299999237060547,11.0,7.890010373989926,566.0603290431351,568.0280775577272,1772.007612752414,110.21126952857792,19.841933783485256,47.83616652709288,2.288798772976759,0.0,0.0,13.298739268556655,2.7297674037955995,1.7426859053643649,579.8626205146504,N
Dorchester,38,2018-09-27 13:34:00-0400,42.320491,-71.017133,8.231707317,,,,,,,29.2,,18.2,,,ToRies_Labprocessed2018_sharedSeaGlass,,,,2055.922607421875,1923.052978515625,18.200000762939453,18.23170661926269,7.871723291597714,598.0787705337262,600.1604316002393,1795.8448855855186,106.16029971381936,21.047758012293723,45.60391975193082,2.1668221091008704,0.0,0.0,13.666480404039788,2.6293420533514027,1.6771845259037916,612.5859224960934,N
